Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Tipo de centro;Habilidades TIC;Total
Total Nacional;01 Andalucía;Mujeres;Total;Usuario de nivel avanzado;19.966
Total Nacional;01 Andalucía;Mujeres;Total;Usuario de nivel básico;9.961
Total Nacional;01 Andalucía;Mujeres;Total;No usuario de las TIC;0
Total Nacional;01 Andalucía;Mujeres;Total;No consta;0
Total Nacional;01 Andalucía;Mujeres;Centro Público;Total;24.390
Total Nacional;01 Andalucía;Mujeres;Centro Público;Usuario experto;2.255
Total Nacional;01 Andalucía;Mujeres;Centro Público;Usuario de nivel avanzado;14.435
Total Nacional;01 Andalucía;Mujeres;Centro Público;Usuario de nivel básico;7.701
Total Nacional;01 Andalucía;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;01 Andalucía;Mujeres;Centro Público;No consta;0
Total Nacional;01 Andalucía;Mujeres;Centro Privado;Total;9.269
Total Nacional;01 Andalucía;Mujeres;Centro Privado;Usuario experto;1.478
Total Nacional;01 Andalucía;Mujeres;Centro Privado;Usuario de nivel avanzado;5.531
Total Nacional;01 Andalucía;Mujeres;Centro Privado;Usuario de nivel básico;2.260
Total Nacional;01 Andalucía;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;01 Andalucía;Mujeres;Centro Privado;No consta;0
Total Nacional;02 Aragón;Ambos sexos;Total;Total;8.629
Total Nacional;02 Aragón;Ambos sexos;Total;Usuario experto;1.279
Total Nacional;02 Aragón;Ambos sexos;Total;Usuario de nivel avanzado;5.487
Total Nacional;02 Aragón;Ambos sexos;Total;Usuario de nivel básico;1.752
Total Nacional;02 Aragón;Ambos sexos;Total;No usuario de las TIC;0
Total Nacional;02 Aragón;Ambos sexos;Total;No consta;110
Total Nacional;02 Aragón;Ambos sexos;Centro Público;Total;5.267
Total Nacional;02 Aragón;Ambos sexos;Centro Público;Usuario experto;703
Total Nacional;02 Aragón;Ambos sexos;Centro Público;Usuario de nivel avanzado;3.615
Total Nacional;02 Aragón;Ambos sexos;Centro Público;Usuario de nivel básico;921
Total Nacional;02 Aragón;Ambos sexos;Centro Público;No usuario de las TIC;0
Total Nacional;02 Aragón;Ambos sexos;Centro Público;No consta;29
Total Nacional;02 Aragón;Ambos sexos;Centro Privado;Total;3.362
Total Nacional;02 Aragón;Ambos sexos;Centro Privado;Usuario experto;577
Total Nacional;02 Aragón;Ambos sexos;Centro Privado;Usuario de nivel avanzado;1.873
Total Nacional;02 Aragón;Ambos sexos;Centro Privado;Usuario de nivel básico;831
Total Nacional;02 Aragón;Ambos sexos;Centro Privado;No usuario de las TIC;0
Total Nacional;02 Aragón;Ambos sexos;Centro Privado;No consta;81
Total Nacional;02 Aragón;Hombres;Total;Total;4.302
Total Nacional;02 Aragón;Hombres;Total;Usuario experto;1.039
Total Nacional;02 Aragón;Hombres;Total;Usuario de nivel avanzado;2.552
Total Nacional;02 Aragón;Hombres;Total;Usuario de nivel básico;661
Total Nacional;02 Aragón;Hombres;Total;No usuario de las TIC;0
Total Nacional;02 Aragón;Hombres;Total;No consta;50
Total Nacional;02 Aragón;Hombres;Centro Público;Total;2.620
Total Nacional;02 Aragón;Hombres;Centro Público;Usuario experto;582
Total Nacional;02 Aragón;Hombres;Centro Público;Usuario de nivel avanzado;1.659
Total Nacional;02 Aragón;Hombres;Centro Público;Usuario de nivel básico;349
Total Nacional;02 Aragón;Hombres;Centro Público;No usuario de las TIC;0
Total Nacional;02 Aragón;Hombres;Centro Público;No consta;29
Total Nacional;02 Aragón;Hombres;Centro Privado;Total;1.682
Total Nacional;02 Aragón;Hombres;Centro Privado;Usuario experto;457
Total Nacional;02 Aragón;Hombres;Centro Privado;Usuario de nivel avanzado;893
Total Nacional;02 Aragón;Hombres;Centro Privado;Usuario de nivel básico;311
Total Nacional;02 Aragón;Hombres;Centro Privado;No usuario de las TIC;0
Total Nacional;02 Aragón;Hombres;Centro Privado;No consta;21
Total Nacional;02 Aragón;Mujeres;Total;Total;4.327
Total Nacional;02 Aragón;Mujeres;Total;Usuario experto;240
Total Nacional;02 Aragón;Mujeres;Total;Usuario de nivel avanzado;2.935
Total Nacional;02 Aragón;Mujeres;Total;Usuario de nivel básico;1.092
Total Nacional;02 Aragón;Mujeres;Total;No usuario de las TIC;0
Total Nacional;02 Aragón;Mujeres;Total;No consta;60
Total Nacional;02 Aragón;Mujeres;Centro Público;Total;2.647
Total Nacional;02 Aragón;Mujeres;Centro Público;Usuario experto;120
Total Nacional;02 Aragón;Mujeres;Centro Público;Usuario de nivel avanzado;1.955
Total Nacional;02 Aragón;Mujeres;Centro Público;Usuario de nivel básico;572
Total Nacional;02 Aragón;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;02 Aragón;Mujeres;Centro Público;No consta;0
Total Nacional;02 Aragón;Mujeres;Centro Privado;Total;1.680
Total Nacional;02 Aragón;Mujeres;Centro Privado;Usuario experto;120
Total Nacional;02 Aragón;Mujeres;Centro Privado;Usuario de nivel avanzado;980
Total Nacional;02 Aragón;Mujeres;Centro Privado;Usuario de nivel básico;520
Total Nacional;02 Aragón;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;02 Aragón;Mujeres;Centro Privado;No consta;60
Total Nacional;03 Asturias, Principado de;Ambos sexos;Total;Total;6.244
Total Nacional;03 Asturias, Principado de;Ambos sexos;Total;Usuario experto;1.041
Total Nacional;03 Asturias, Principado de;Ambos sexos;Total;Usuario de nivel avanzado;3.832
Total Nacional;03 Asturias, Principado de;Ambos sexos;Total;Usuario de nivel básico;1.349
Total Nacional;03 Asturias, Principado de;Ambos sexos;Total;No usuario de las TIC;22
Total Nacional;03 Asturias, Principado de;Ambos sexos;Total;No consta;0
Total Nacional;03 Asturias, Principado de;Ambos sexos;Centro Público;Total;3.956
Total Nacional;03 Asturias, Principado de;Ambos sexos;Centro Público;Usuario experto;743
Total Nacional;03 Asturias, Principado de;Ambos sexos;Centro Público;Usuario de nivel avanzado;2.309
Total Nacional;03 Asturias, Principado de;Ambos sexos;Centro Público;Usuario de nivel básico;882
Total Nacional;03 Asturias, Principado de;Ambos sexos;Centro Público;No usuario de las TIC;22
Total Nacional;03 Asturias, Principado de;Ambos sexos;Centro Público;No consta;0
Total Nacional;03 Asturias, Principado de;Ambos sexos;Centro Privado;Total;2.288
Total Nacional;03 Asturias, Principado de;Ambos sexos;Centro Privado;Usuario experto;298
Total Nacional;03 Asturias, Principado de;Ambos sexos;Centro Privado;Usuario de nivel avanzado;1.523
Total Nacional;03 Asturias, Principado de;Ambos sexos;Centro Privado;Usuario de nivel básico;467
Total Nacional;03 Asturias, Principado de;Ambos sexos;Centro Privado;No usuario de las TIC;0
Total Nacional;03 Asturias, Principado de;Ambos sexos;Centro Privado;No consta;0
Total Nacional;03 Asturias, Principado de;Hombres;Total;Total;3.045
Total Nacional;03 Asturias, Principado de;Hombres;Total;Usuario experto;780
Total Nacional;03 Asturias, Principado de;Hombres;Total;Usuario de nivel avanzado;1.765
Total Nacional;03 Asturias, Principado de;Hombres;Total;Usuario de nivel básico;478
Total Nacional;03 Asturias, Principado de;Hombres;Total;No usuario de las TIC;22
Total Nacional;03 Asturias, Principado de;Hombres;Total;No consta;0
Total Nacional;03 Asturias, Principado de;Hombres;Centro Público;Total;1.916
Total Nacional;03 Asturias, Principado de;Hombres;Centro Público;Usuario experto;530
Total Nacional;03 Asturias, Principado de;Hombres;Centro Público;Usuario de nivel avanzado;1.099
Total Nacional;03 Asturias, Principado de;Hombres;Centro Público;Usuario de nivel básico;265
Total Nacional;03 Asturias, Principado de;Hombres;Centro Público;No usuario de las TIC;22
Total Nacional;03 Asturias, Principado de;Hombres;Centro Público;No consta;0
Total Nacional;03 Asturias, Principado de;Hombres;Centro Privado;Total;1.129
Total Nacional;03 Asturias, Principado de;Hombres;Centro Privado;Usuario experto;250
Total Nacional;03 Asturias, Principado de;Hombres;Centro Privado;Usuario de nivel avanzado;666
Total Nacional;03 Asturias, Principado de;Hombres;Centro Privado;Usuario de nivel básico;213
Total Nacional;03 Asturias, Principado de;Hombres;Centro Privado;No usuario de las TIC;0
Total Nacional;03 Asturias, Principado de;Hombres;Centro Privado;No consta;0
Total Nacional;03 Asturias, Principado de;Mujeres;Total;Total;3.199
Total Nacional;03 Asturias, Principado de;Mujeres;Total;Usuario experto;261
Total Nacional;03 Asturias, Principado de;Mujeres;Total;Usuario de nivel avanzado;2.067
Total Nacional;03 Asturias, Principado de;Mujeres;Total;Usuario de nivel básico;871
Total Nacional;03 Asturias, Principado de;Mujeres;Total;No usuario de las TIC;0
Total Nacional;03 Asturias, Principado de;Mujeres;Total;No consta;0
Total Nacional;03 Asturias, Principado de;Mujeres;Centro Público;Total;2.040
Total Nacional;03 Asturias, Principado de;Mujeres;Centro Público;Usuario experto;213
Total Nacional;03 Asturias, Principado de;Mujeres;Centro Público;Usuario de nivel avanzado;1.210
Total Nacional;03 Asturias, Principado de;Mujeres;Centro Público;Usuario de nivel básico;617
Total Nacional;03 Asturias, Principado de;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;03 Asturias, Principado de;Mujeres;Centro Público;No consta;0
Total Nacional;03 Asturias, Principado de;Mujeres;Centro Privado;Total;1.159
Total Nacional;03 Asturias, Principado de;Mujeres;Centro Privado;Usuario experto;48
Total Nacional;03 Asturias, Principado de;Mujeres;Centro Privado;Usuario de nivel avanzado;857
Total Nacional;03 Asturias, Principado de;Mujeres;Centro Privado;Usuario de nivel básico;254
Total Nacional;03 Asturias, Principado de;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;03 Asturias, Principado de;Mujeres;Centro Privado;No consta;0
Total Nacional;04 Balears, Illes;Ambos sexos;Total;Total;7.177
Total Nacional;04 Balears, Illes;Ambos sexos;Total;Usuario experto;1.061
Total Nacional;04 Balears, Illes;Ambos sexos;Total;Usuario de nivel avanzado;4.510
Total Nacional;04 Balears, Illes;Ambos sexos;Total;Usuario de nivel básico;1.567
Total Nacional;04 Balears, Illes;Ambos sexos;Total;No usuario de las TIC;0
Total Nacional;04 Balears, Illes;Ambos sexos;Total;No consta;39
Total Nacional;04 Balears, Illes;Ambos sexos;Centro Público;Total;4.017
Total Nacional;04 Balears, Illes;Ambos sexos;Centro Público;Usuario experto;609
Total Nacional;04 Balears, Illes;Ambos sexos;Centro Público;Usuario de nivel avanzado;2.411
Total Nacional;04 Balears, Illes;Ambos sexos;Centro Público;Usuario de nivel básico;997
Total Nacional;04 Balears, Illes;Ambos sexos;Centro Público;No usuario de las TIC;0
Total Nacional;04 Balears, Illes;Ambos sexos;Centro Público;No consta;0
Total Nacional;04 Balears, Illes;Ambos sexos;Centro Privado;Total;3.160
Total Nacional;04 Balears, Illes;Ambos sexos;Centro Privado;Usuario experto;452
Total Nacional;04 Balears, Illes;Ambos sexos;Centro Privado;Usuario de nivel avanzado;2.099
Total Nacional;04 Balears, Illes;Ambos sexos;Centro Privado;Usuario de nivel básico;570
Total Nacional;04 Balears, Illes;Ambos sexos;Centro Privado;No usuario de las TIC;0
Total Nacional;04 Balears, Illes;Ambos sexos;Centro Privado;No consta;39
