Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Tipo de centro;Habilidades TIC;Total
Total Nacional;06 Cantabria;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;06 Cantabria;Mujeres;Centro Público;No consta;0
Total Nacional;06 Cantabria;Mujeres;Centro Privado;Total;722
Total Nacional;06 Cantabria;Mujeres;Centro Privado;Usuario experto;48
Total Nacional;06 Cantabria;Mujeres;Centro Privado;Usuario de nivel avanzado;472
Total Nacional;06 Cantabria;Mujeres;Centro Privado;Usuario de nivel básico;202
Total Nacional;06 Cantabria;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;06 Cantabria;Mujeres;Centro Privado;No consta;0
Total Nacional;07 Castilla y León;Ambos sexos;Total;Total;16.161
Total Nacional;07 Castilla y León;Ambos sexos;Total;Usuario experto;2.629
Total Nacional;07 Castilla y León;Ambos sexos;Total;Usuario de nivel avanzado;10.485
Total Nacional;07 Castilla y León;Ambos sexos;Total;Usuario de nivel básico;3.011
Total Nacional;07 Castilla y León;Ambos sexos;Total;No usuario de las TIC;36
Total Nacional;07 Castilla y León;Ambos sexos;Total;No consta;0
Total Nacional;07 Castilla y León;Ambos sexos;Centro Público;Total;9.859
Total Nacional;07 Castilla y León;Ambos sexos;Centro Público;Usuario experto;1.695
Total Nacional;07 Castilla y León;Ambos sexos;Centro Público;Usuario de nivel avanzado;6.252
Total Nacional;07 Castilla y León;Ambos sexos;Centro Público;Usuario de nivel básico;1.912
Total Nacional;07 Castilla y León;Ambos sexos;Centro Público;No usuario de las TIC;0
Total Nacional;07 Castilla y León;Ambos sexos;Centro Público;No consta;0
Total Nacional;07 Castilla y León;Ambos sexos;Centro Privado;Total;6.302
Total Nacional;07 Castilla y León;Ambos sexos;Centro Privado;Usuario experto;934
Total Nacional;07 Castilla y León;Ambos sexos;Centro Privado;Usuario de nivel avanzado;4.233
Total Nacional;07 Castilla y León;Ambos sexos;Centro Privado;Usuario de nivel básico;1.099
Total Nacional;07 Castilla y León;Ambos sexos;Centro Privado;No usuario de las TIC;36
Total Nacional;07 Castilla y León;Ambos sexos;Centro Privado;No consta;0
Total Nacional;07 Castilla y León;Hombres;Total;Total;7.887
Total Nacional;07 Castilla y León;Hombres;Total;Usuario experto;1.805
Total Nacional;07 Castilla y León;Hombres;Total;Usuario de nivel avanzado;4.595
Total Nacional;07 Castilla y León;Hombres;Total;Usuario de nivel básico;1.451
Total Nacional;07 Castilla y León;Hombres;Total;No usuario de las TIC;36
Total Nacional;07 Castilla y León;Hombres;Total;No consta;0
Total Nacional;07 Castilla y León;Hombres;Centro Público;Total;4.714
Total Nacional;07 Castilla y León;Hombres;Centro Público;Usuario experto;1.117
Total Nacional;07 Castilla y León;Hombres;Centro Público;Usuario de nivel avanzado;2.682
Total Nacional;07 Castilla y León;Hombres;Centro Público;Usuario de nivel básico;914
Total Nacional;07 Castilla y León;Hombres;Centro Público;No usuario de las TIC;0
Total Nacional;07 Castilla y León;Hombres;Centro Público;No consta;0
Total Nacional;07 Castilla y León;Hombres;Centro Privado;Total;3.173
Total Nacional;07 Castilla y León;Hombres;Centro Privado;Usuario experto;688
Total Nacional;07 Castilla y León;Hombres;Centro Privado;Usuario de nivel avanzado;1.912
Total Nacional;07 Castilla y León;Hombres;Centro Privado;Usuario de nivel básico;536
Total Nacional;07 Castilla y León;Hombres;Centro Privado;No usuario de las TIC;36
Total Nacional;07 Castilla y León;Hombres;Centro Privado;No consta;0
Total Nacional;07 Castilla y León;Mujeres;Total;Total;8.274
Total Nacional;07 Castilla y León;Mujeres;Total;Usuario experto;824
Total Nacional;07 Castilla y León;Mujeres;Total;Usuario de nivel avanzado;5.890
Total Nacional;07 Castilla y León;Mujeres;Total;Usuario de nivel básico;1.560
Total Nacional;07 Castilla y León;Mujeres;Total;No usuario de las TIC;0
Total Nacional;07 Castilla y León;Mujeres;Total;No consta;0
Total Nacional;07 Castilla y León;Mujeres;Centro Público;Total;5.145
Total Nacional;07 Castilla y León;Mujeres;Centro Público;Usuario experto;578
Total Nacional;07 Castilla y León;Mujeres;Centro Público;Usuario de nivel avanzado;3.570
Total Nacional;07 Castilla y León;Mujeres;Centro Público;Usuario de nivel básico;998
Total Nacional;07 Castilla y León;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;07 Castilla y León;Mujeres;Centro Público;No consta;0
Total Nacional;07 Castilla y León;Mujeres;Centro Privado;Total;3.129
Total Nacional;07 Castilla y León;Mujeres;Centro Privado;Usuario experto;246
Total Nacional;07 Castilla y León;Mujeres;Centro Privado;Usuario de nivel avanzado;2.320
Total Nacional;07 Castilla y León;Mujeres;Centro Privado;Usuario de nivel básico;563
Total Nacional;07 Castilla y León;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;07 Castilla y León;Mujeres;Centro Privado;No consta;0
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Total;Total;14.987
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Total;Usuario experto;3.066
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Total;Usuario de nivel avanzado;8.377
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Total;Usuario de nivel básico;3.249
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Total;No usuario de las TIC;56
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Total;No consta;239
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Centro Público;Total;11.823
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Centro Público;Usuario experto;2.456
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Centro Público;Usuario de nivel avanzado;6.412
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Centro Público;Usuario de nivel básico;2.660
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Centro Público;No usuario de las TIC;56
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Centro Público;No consta;239
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Centro Privado;Total;3.164
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Centro Privado;Usuario experto;610
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Centro Privado;Usuario de nivel avanzado;1.966
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Centro Privado;Usuario de nivel básico;589
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Centro Privado;No usuario de las TIC;0
Total Nacional;08 Castilla - La Mancha;Ambos sexos;Centro Privado;No consta;0
Total Nacional;08 Castilla - La Mancha;Hombres;Total;Total;6.962
Total Nacional;08 Castilla - La Mancha;Hombres;Total;Usuario experto;2.109
Total Nacional;08 Castilla - La Mancha;Hombres;Total;Usuario de nivel avanzado;3.545
Total Nacional;08 Castilla - La Mancha;Hombres;Total;Usuario de nivel básico;1.196
Total Nacional;08 Castilla - La Mancha;Hombres;Total;No usuario de las TIC;56
Total Nacional;08 Castilla - La Mancha;Hombres;Total;No consta;56
Total Nacional;08 Castilla - La Mancha;Hombres;Centro Público;Total;5.426
Total Nacional;08 Castilla - La Mancha;Hombres;Centro Público;Usuario experto;1.664
Total Nacional;08 Castilla - La Mancha;Hombres;Centro Público;Usuario de nivel avanzado;2.695
Total Nacional;08 Castilla - La Mancha;Hombres;Centro Público;Usuario de nivel básico;955
Total Nacional;08 Castilla - La Mancha;Hombres;Centro Público;No usuario de las TIC;56
Total Nacional;08 Castilla - La Mancha;Hombres;Centro Público;No consta;56
Total Nacional;08 Castilla - La Mancha;Hombres;Centro Privado;Total;1.536
Total Nacional;08 Castilla - La Mancha;Hombres;Centro Privado;Usuario experto;445
Total Nacional;08 Castilla - La Mancha;Hombres;Centro Privado;Usuario de nivel avanzado;850
Total Nacional;08 Castilla - La Mancha;Hombres;Centro Privado;Usuario de nivel básico;241
Total Nacional;08 Castilla - La Mancha;Hombres;Centro Privado;No usuario de las TIC;0
Total Nacional;08 Castilla - La Mancha;Hombres;Centro Privado;No consta;0
Total Nacional;08 Castilla - La Mancha;Mujeres;Total;Total;8.025
Total Nacional;08 Castilla - La Mancha;Mujeres;Total;Usuario experto;957
Total Nacional;08 Castilla - La Mancha;Mujeres;Total;Usuario de nivel avanzado;4.832
Total Nacional;08 Castilla - La Mancha;Mujeres;Total;Usuario de nivel básico;2.053
Total Nacional;08 Castilla - La Mancha;Mujeres;Total;No usuario de las TIC;0
Total Nacional;08 Castilla - La Mancha;Mujeres;Total;No consta;183
Total Nacional;08 Castilla - La Mancha;Mujeres;Centro Público;Total;6.397
Total Nacional;08 Castilla - La Mancha;Mujeres;Centro Público;Usuario experto;792
Total Nacional;08 Castilla - La Mancha;Mujeres;Centro Público;Usuario de nivel avanzado;3.716
Total Nacional;08 Castilla - La Mancha;Mujeres;Centro Público;Usuario de nivel básico;1.706
Total Nacional;08 Castilla - La Mancha;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;08 Castilla - La Mancha;Mujeres;Centro Público;No consta;183
Total Nacional;08 Castilla - La Mancha;Mujeres;Centro Privado;Total;1.628
Total Nacional;08 Castilla - La Mancha;Mujeres;Centro Privado;Usuario experto;165
Total Nacional;08 Castilla - La Mancha;Mujeres;Centro Privado;Usuario de nivel avanzado;1.116
Total Nacional;08 Castilla - La Mancha;Mujeres;Centro Privado;Usuario de nivel básico;348
Total Nacional;08 Castilla - La Mancha;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;08 Castilla - La Mancha;Mujeres;Centro Privado;No consta;0
Total Nacional;09 Cataluña;Ambos sexos;Total;Total;55.541
Total Nacional;09 Cataluña;Ambos sexos;Total;Usuario experto;11.176
Total Nacional;09 Cataluña;Ambos sexos;Total;Usuario de nivel avanzado;35.763
Total Nacional;09 Cataluña;Ambos sexos;Total;Usuario de nivel básico;8.208
Total Nacional;09 Cataluña;Ambos sexos;Total;No usuario de las TIC;250
Total Nacional;09 Cataluña;Ambos sexos;Total;No consta;144
Total Nacional;09 Cataluña;Ambos sexos;Centro Público;Total;32.634
Total Nacional;09 Cataluña;Ambos sexos;Centro Público;Usuario experto;6.642
Total Nacional;09 Cataluña;Ambos sexos;Centro Público;Usuario de nivel avanzado;19.923
Total Nacional;09 Cataluña;Ambos sexos;Centro Público;Usuario de nivel básico;5.780
Total Nacional;09 Cataluña;Ambos sexos;Centro Público;No usuario de las TIC;144
Total Nacional;09 Cataluña;Ambos sexos;Centro Público;No consta;144
Total Nacional;09 Cataluña;Ambos sexos;Centro Privado;Total;22.907
Total Nacional;09 Cataluña;Ambos sexos;Centro Privado;Usuario experto;4.534
Total Nacional;09 Cataluña;Ambos sexos;Centro Privado;Usuario de nivel avanzado;15.839
Total Nacional;09 Cataluña;Ambos sexos;Centro Privado;Usuario de nivel básico;2.428
Total Nacional;09 Cataluña;Ambos sexos;Centro Privado;No usuario de las TIC;105
Total Nacional;09 Cataluña;Ambos sexos;Centro Privado;No consta;0
Total Nacional;09 Cataluña;Hombres;Total;Total;27.422
Total Nacional;09 Cataluña;Hombres;Total;Usuario experto;8.925
Total Nacional;09 Cataluña;Hombres;Total;Usuario de nivel avanzado;15.094
Total Nacional;09 Cataluña;Hombres;Total;Usuario de nivel básico;3.009
Total Nacional;09 Cataluña;Hombres;Total;No usuario de las TIC;250
Total Nacional;09 Cataluña;Hombres;Total;No consta;144
Total Nacional;09 Cataluña;Hombres;Centro Público;Total;15.973
Total Nacional;09 Cataluña;Hombres;Centro Público;Usuario experto;5.342
Total Nacional;09 Cataluña;Hombres;Centro Público;Usuario de nivel avanzado;8.177
Total Nacional;09 Cataluña;Hombres;Centro Público;Usuario de nivel básico;2.166
Total Nacional;09 Cataluña;Hombres;Centro Público;No usuario de las TIC;144
Total Nacional;09 Cataluña;Hombres;Centro Público;No consta;144
Total Nacional;09 Cataluña;Hombres;Centro Privado;Total;11.449
Total Nacional;09 Cataluña;Hombres;Centro Privado;Usuario experto;3.583
Total Nacional;09 Cataluña;Hombres;Centro Privado;Usuario de nivel avanzado;6.917
Total Nacional;09 Cataluña;Hombres;Centro Privado;Usuario de nivel básico;843
Total Nacional;09 Cataluña;Hombres;Centro Privado;No usuario de las TIC;105
Total Nacional;09 Cataluña;Hombres;Centro Privado;No consta;0
Total Nacional;09 Cataluña;Mujeres;Total;Total;28.119
Total Nacional;09 Cataluña;Mujeres;Total;Usuario experto;2.251
Total Nacional;09 Cataluña;Mujeres;Total;Usuario de nivel avanzado;20.669
Total Nacional;09 Cataluña;Mujeres;Total;Usuario de nivel básico;5.199
Total Nacional;09 Cataluña;Mujeres;Total;No usuario de las TIC;0
Total Nacional;09 Cataluña;Mujeres;Total;No consta;0
Total Nacional;09 Cataluña;Mujeres;Centro Público;Total;16.661
Total Nacional;09 Cataluña;Mujeres;Centro Público;Usuario experto;1.300
Total Nacional;09 Cataluña;Mujeres;Centro Público;Usuario de nivel avanzado;11.747
Total Nacional;09 Cataluña;Mujeres;Centro Público;Usuario de nivel básico;3.614
Total Nacional;09 Cataluña;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;09 Cataluña;Mujeres;Centro Público;No consta;0
Total Nacional;09 Cataluña;Mujeres;Centro Privado;Total;11.458
Total Nacional;09 Cataluña;Mujeres;Centro Privado;Usuario experto;951
Total Nacional;09 Cataluña;Mujeres;Centro Privado;Usuario de nivel avanzado;8.922
Total Nacional;09 Cataluña;Mujeres;Centro Privado;Usuario de nivel básico;1.585
Total Nacional;09 Cataluña;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;09 Cataluña;Mujeres;Centro Privado;No consta;0
Total Nacional;10 Comunitat Valenciana;Ambos sexos;Total;Total;30.870
Total Nacional;10 Comunitat Valenciana;Ambos sexos;Total;Usuario experto;4.344
Total Nacional;10 Comunitat Valenciana;Ambos sexos;Total;Usuario de nivel avanzado;19.641
Total Nacional;10 Comunitat Valenciana;Ambos sexos;Total;Usuario de nivel básico;6.685
Total Nacional;10 Comunitat Valenciana;Ambos sexos;Total;No usuario de las TIC;0
Total Nacional;10 Comunitat Valenciana;Ambos sexos;Total;No consta;200
Total Nacional;10 Comunitat Valenciana;Ambos sexos;Centro Público;Total;18.043
Total Nacional;10 Comunitat Valenciana;Ambos sexos;Centro Público;Usuario experto;2.516
Total Nacional;10 Comunitat Valenciana;Ambos sexos;Centro Público;Usuario de nivel avanzado;11.242
Total Nacional;10 Comunitat Valenciana;Ambos sexos;Centro Público;Usuario de nivel básico;4.286
Total Nacional;10 Comunitat Valenciana;Ambos sexos;Centro Público;No usuario de las TIC;0
Total Nacional;10 Comunitat Valenciana;Ambos sexos;Centro Público;No consta;0
Total Nacional;10 Comunitat Valenciana;Ambos sexos;Centro Privado;Total;12.827
Total Nacional;10 Comunitat Valenciana;Ambos sexos;Centro Privado;Usuario experto;1.828
Total Nacional;10 Comunitat Valenciana;Ambos sexos;Centro Privado;Usuario de nivel avanzado;8.399
Total Nacional;10 Comunitat Valenciana;Ambos sexos;Centro Privado;Usuario de nivel básico;2.399
Total Nacional;10 Comunitat Valenciana;Ambos sexos;Centro Privado;No usuario de las TIC;0
Total Nacional;10 Comunitat Valenciana;Ambos sexos;Centro Privado;No consta;200
Total Nacional;10 Comunitat Valenciana;Hombres;Total;Total;14.421
Total Nacional;10 Comunitat Valenciana;Hombres;Total;Usuario experto;3.284
Total Nacional;10 Comunitat Valenciana;Hombres;Total;Usuario de nivel avanzado;8.477
Total Nacional;10 Comunitat Valenciana;Hombres;Total;Usuario de nivel básico;2.595
Total Nacional;10 Comunitat Valenciana;Hombres;Total;No usuario de las TIC;0
Total Nacional;10 Comunitat Valenciana;Hombres;Total;No consta;65
Total Nacional;10 Comunitat Valenciana;Hombres;Centro Público;Total;8.264
Total Nacional;10 Comunitat Valenciana;Hombres;Centro Público;Usuario experto;1.725
Total Nacional;10 Comunitat Valenciana;Hombres;Centro Público;Usuario de nivel avanzado;4.722
Total Nacional;10 Comunitat Valenciana;Hombres;Centro Público;Usuario de nivel básico;1.816
Total Nacional;10 Comunitat Valenciana;Hombres;Centro Público;No usuario de las TIC;0
Total Nacional;10 Comunitat Valenciana;Hombres;Centro Público;No consta;0
Total Nacional;10 Comunitat Valenciana;Hombres;Centro Privado;Total;6.157
Total Nacional;10 Comunitat Valenciana;Hombres;Centro Privado;Usuario experto;1.558
Total Nacional;10 Comunitat Valenciana;Hombres;Centro Privado;Usuario de nivel avanzado;3.754
Total Nacional;10 Comunitat Valenciana;Hombres;Centro Privado;Usuario de nivel básico;779
Total Nacional;10 Comunitat Valenciana;Hombres;Centro Privado;No usuario de las TIC;0
Total Nacional;10 Comunitat Valenciana;Hombres;Centro Privado;No consta;65
Total Nacional;10 Comunitat Valenciana;Mujeres;Total;Total;16.449
Total Nacional;10 Comunitat Valenciana;Mujeres;Total;Usuario experto;1.060
Total Nacional;10 Comunitat Valenciana;Mujeres;Total;Usuario de nivel avanzado;11.164
Total Nacional;10 Comunitat Valenciana;Mujeres;Total;Usuario de nivel básico;4.089
Total Nacional;10 Comunitat Valenciana;Mujeres;Total;No usuario de las TIC;0
Total Nacional;10 Comunitat Valenciana;Mujeres;Total;No consta;135
Total Nacional;10 Comunitat Valenciana;Mujeres;Centro Público;Total;9.779
Total Nacional;10 Comunitat Valenciana;Mujeres;Centro Público;Usuario experto;790
Total Nacional;10 Comunitat Valenciana;Mujeres;Centro Público;Usuario de nivel avanzado;6.519
Total Nacional;10 Comunitat Valenciana;Mujeres;Centro Público;Usuario de nivel básico;2.469
Total Nacional;10 Comunitat Valenciana;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;10 Comunitat Valenciana;Mujeres;Centro Público;No consta;0
Total Nacional;10 Comunitat Valenciana;Mujeres;Centro Privado;Total;6.670
Total Nacional;10 Comunitat Valenciana;Mujeres;Centro Privado;Usuario experto;270
Total Nacional;10 Comunitat Valenciana;Mujeres;Centro Privado;Usuario de nivel avanzado;4.645
Total Nacional;10 Comunitat Valenciana;Mujeres;Centro Privado;Usuario de nivel básico;1.620
Total Nacional;10 Comunitat Valenciana;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;10 Comunitat Valenciana;Mujeres;Centro Privado;No consta;135
Total Nacional;11 Extremadura;Ambos sexos;Total;Total;8.446
Total Nacional;11 Extremadura;Ambos sexos;Total;Usuario experto;1.140
Total Nacional;11 Extremadura;Ambos sexos;Total;Usuario de nivel avanzado;5.236
Total Nacional;11 Extremadura;Ambos sexos;Total;Usuario de nivel básico;2.058
Total Nacional;11 Extremadura;Ambos sexos;Total;No usuario de las TIC;12
Total Nacional;11 Extremadura;Ambos sexos;Total;No consta;0
Total Nacional;11 Extremadura;Ambos sexos;Centro Público;Total;6.292
Total Nacional;11 Extremadura;Ambos sexos;Centro Público;Usuario experto;844
Total Nacional;11 Extremadura;Ambos sexos;Centro Público;Usuario de nivel avanzado;3.885
Total Nacional;11 Extremadura;Ambos sexos;Centro Público;Usuario de nivel básico;1.564
Total Nacional;11 Extremadura;Ambos sexos;Centro Público;No usuario de las TIC;0
Total Nacional;11 Extremadura;Ambos sexos;Centro Público;No consta;0
Total Nacional;11 Extremadura;Ambos sexos;Centro Privado;Total;2.154
Total Nacional;11 Extremadura;Ambos sexos;Centro Privado;Usuario experto;296
Total Nacional;11 Extremadura;Ambos sexos;Centro Privado;Usuario de nivel avanzado;1.351
Total Nacional;11 Extremadura;Ambos sexos;Centro Privado;Usuario de nivel básico;494
Total Nacional;11 Extremadura;Ambos sexos;Centro Privado;No usuario de las TIC;12
Total Nacional;11 Extremadura;Ambos sexos;Centro Privado;No consta;0
Total Nacional;11 Extremadura;Hombres;Total;Total;4.014
Total Nacional;11 Extremadura;Hombres;Total;Usuario experto;812
Total Nacional;11 Extremadura;Hombres;Total;Usuario de nivel avanzado;2.332
Total Nacional;11 Extremadura;Hombres;Total;Usuario de nivel básico;858
Total Nacional;11 Extremadura;Hombres;Total;No usuario de las TIC;12
Total Nacional;11 Extremadura;Hombres;Total;No consta;0
Total Nacional;11 Extremadura;Hombres;Centro Público;Total;2.972
Total Nacional;11 Extremadura;Hombres;Centro Público;Usuario experto;601
Total Nacional;11 Extremadura;Hombres;Centro Público;Usuario de nivel avanzado;1.736
Total Nacional;11 Extremadura;Hombres;Centro Público;Usuario de nivel básico;634
Total Nacional;11 Extremadura;Hombres;Centro Público;No usuario de las TIC;0
Total Nacional;11 Extremadura;Hombres;Centro Público;No consta;0
Total Nacional;11 Extremadura;Hombres;Centro Privado;Total;1.042
Total Nacional;11 Extremadura;Hombres;Centro Privado;Usuario experto;211
Total Nacional;11 Extremadura;Hombres;Centro Privado;Usuario de nivel avanzado;595
Total Nacional;11 Extremadura;Hombres;Centro Privado;Usuario de nivel básico;223
Total Nacional;11 Extremadura;Hombres;Centro Privado;No usuario de las TIC;12
Total Nacional;11 Extremadura;Hombres;Centro Privado;No consta;0
Total Nacional;11 Extremadura;Mujeres;Total;Total;4.432
Total Nacional;11 Extremadura;Mujeres;Total;Usuario experto;328
Total Nacional;11 Extremadura;Mujeres;Total;Usuario de nivel avanzado;2.904
Total Nacional;11 Extremadura;Mujeres;Total;Usuario de nivel básico;1.200
Total Nacional;11 Extremadura;Mujeres;Total;No usuario de las TIC;0
Total Nacional;11 Extremadura;Mujeres;Total;No consta;0
Total Nacional;11 Extremadura;Mujeres;Centro Público;Total;3.320
Total Nacional;11 Extremadura;Mujeres;Centro Público;Usuario experto;243
Total Nacional;11 Extremadura;Mujeres;Centro Público;Usuario de nivel avanzado;2.148
Total Nacional;11 Extremadura;Mujeres;Centro Público;Usuario de nivel básico;929
Total Nacional;11 Extremadura;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;11 Extremadura;Mujeres;Centro Público;No consta;0
Total Nacional;11 Extremadura;Mujeres;Centro Privado;Total;1.112
Total Nacional;11 Extremadura;Mujeres;Centro Privado;Usuario experto;86
Total Nacional;11 Extremadura;Mujeres;Centro Privado;Usuario de nivel avanzado;756
Total Nacional;11 Extremadura;Mujeres;Centro Privado;Usuario de nivel básico;271
Total Nacional;11 Extremadura;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;11 Extremadura;Mujeres;Centro Privado;No consta;0
Total Nacional;12 Galicia;Ambos sexos;Total;Total;16.326
Total Nacional;12 Galicia;Ambos sexos;Total;Usuario experto;2.818
Total Nacional;12 Galicia;Ambos sexos;Total;Usuario de nivel avanzado;10.000
Total Nacional;12 Galicia;Ambos sexos;Total;Usuario de nivel básico;3.451
Total Nacional;12 Galicia;Ambos sexos;Total;No usuario de las TIC;0
Total Nacional;12 Galicia;Ambos sexos;Total;No consta;57
Total Nacional;12 Galicia;Ambos sexos;Centro Público;Total;11.068
Total Nacional;12 Galicia;Ambos sexos;Centro Público;Usuario experto;1.950
Total Nacional;12 Galicia;Ambos sexos;Centro Público;Usuario de nivel avanzado;6.572
Total Nacional;12 Galicia;Ambos sexos;Centro Público;Usuario de nivel básico;2.489
Total Nacional;12 Galicia;Ambos sexos;Centro Público;No usuario de las TIC;0
Total Nacional;12 Galicia;Ambos sexos;Centro Público;No consta;57
Total Nacional;12 Galicia;Ambos sexos;Centro Privado;Total;5.258
Total Nacional;12 Galicia;Ambos sexos;Centro Privado;Usuario experto;868
Total Nacional;12 Galicia;Ambos sexos;Centro Privado;Usuario de nivel avanzado;3.428
Total Nacional;12 Galicia;Ambos sexos;Centro Privado;Usuario de nivel básico;962
Total Nacional;12 Galicia;Ambos sexos;Centro Privado;No usuario de las TIC;0
Total Nacional;12 Galicia;Ambos sexos;Centro Privado;No consta;0
Total Nacional;12 Galicia;Hombres;Total;Total;7.862
Total Nacional;12 Galicia;Hombres;Total;Usuario experto;2.004
Total Nacional;12 Galicia;Hombres;Total;Usuario de nivel avanzado;4.481
Total Nacional;12 Galicia;Hombres;Total;Usuario de nivel básico;1.377
Total Nacional;12 Galicia;Hombres;Total;No usuario de las TIC;0
Total Nacional;12 Galicia;Hombres;Total;No consta;0
Total Nacional;12 Galicia;Hombres;Centro Público;Total;5.245
Total Nacional;12 Galicia;Hombres;Centro Público;Usuario experto;1.441
Total Nacional;12 Galicia;Hombres;Centro Público;Usuario de nivel avanzado;2.901
Total Nacional;12 Galicia;Hombres;Centro Público;Usuario de nivel básico;903
Total Nacional;12 Galicia;Hombres;Centro Público;No usuario de las TIC;0
Total Nacional;12 Galicia;Hombres;Centro Público;No consta;0
Total Nacional;12 Galicia;Hombres;Centro Privado;Total;2.617
Total Nacional;12 Galicia;Hombres;Centro Privado;Usuario experto;563
Total Nacional;12 Galicia;Hombres;Centro Privado;Usuario de nivel avanzado;1.580
Total Nacional;12 Galicia;Hombres;Centro Privado;Usuario de nivel básico;474
Total Nacional;12 Galicia;Hombres;Centro Privado;No usuario de las TIC;0
Total Nacional;12 Galicia;Hombres;Centro Privado;No consta;0
Total Nacional;12 Galicia;Mujeres;Total;Total;8.464
Total Nacional;12 Galicia;Mujeres;Total;Usuario experto;815
Total Nacional;12 Galicia;Mujeres;Total;Usuario de nivel avanzado;5.519
Total Nacional;12 Galicia;Mujeres;Total;Usuario de nivel básico;2.074
Total Nacional;12 Galicia;Mujeres;Total;No usuario de las TIC;0
Total Nacional;12 Galicia;Mujeres;Total;No consta;57
Total Nacional;12 Galicia;Mujeres;Centro Público;Total;5.823
Total Nacional;12 Galicia;Mujeres;Centro Público;Usuario experto;510
Total Nacional;12 Galicia;Mujeres;Centro Público;Usuario de nivel avanzado;3.671
Total Nacional;12 Galicia;Mujeres;Centro Público;Usuario de nivel básico;1.586
Total Nacional;12 Galicia;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;12 Galicia;Mujeres;Centro Público;No consta;57
Total Nacional;12 Galicia;Mujeres;Centro Privado;Total;2.641
Total Nacional;12 Galicia;Mujeres;Centro Privado;Usuario experto;305
Total Nacional;12 Galicia;Mujeres;Centro Privado;Usuario de nivel avanzado;1.848
Total Nacional;12 Galicia;Mujeres;Centro Privado;Usuario de nivel básico;488
Total Nacional;12 Galicia;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;12 Galicia;Mujeres;Centro Privado;No consta;0
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;Total;Total;45.236
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;Total;Usuario experto;7.995
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;Total;Usuario de nivel avanzado;28.653
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;Total;Usuario de nivel básico;8.397
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;Total;No usuario de las TIC;0
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;Total;No consta;191
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;Centro Público;Total;21.201
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;Centro Público;Usuario experto;3.785
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;Centro Público;Usuario de nivel avanzado;12.583
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;Centro Público;Usuario de nivel básico;4.642
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;Centro Público;No usuario de las TIC;0
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;Centro Público;No consta;191
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;Centro Privado;Total;24.035
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;Centro Privado;Usuario experto;4.210
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;Centro Privado;Usuario de nivel avanzado;16.070
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;Centro Privado;Usuario de nivel básico;3.755
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;Centro Privado;No usuario de las TIC;0
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;Centro Privado;No consta;0
Total Nacional;13 Madrid, Comunidad de;Hombres;Total;Total;22.186
